,zip_code,State,mean_housing_price
0,10025,NY,719705.94
1,60657,IL,422188.94
2,10023,NY,767610.09
3,77494,TX,271296.63
4,60614,IL,540873.82
5,77449,TX,132080.11
6,10002,NY,782107.05
7,77084,TX,132066.63
8,79936,TX,110149.26
9,60640,IL,265862.97
10,11226,NY,385877.96
11,10467,NY,114962.37
12,78660,TX,197326.0
13,94109,CA,815239.53
14,10016,NY,540026.3
15,37013,TN,156461.02
16,32162,FL,198293.59
17,60647,IL,365509.3
18,11201,NY,607401.13
19,11235,NY,245771.76
20,11375,NY,274007.07
21,90250,CA,429973.24
22,78130,TX,192438.16
23,37211,TN,173757.42
24,10029,NY,651179.43
25,10009,NY,630840.83
26,77573,TX,198288.46
27,60618,IL,399154.63
28,77584,TX,202248.94
29,10011,NY,787167.77
30,20002,DC,419912.48
31,10128,NY,797410.1
32,28269,NC,164843.66
33,78613,TX,233915.78
34,77433,TX,215771.6
35,78572,TX,97477.75
36,30349,GA,129371.06
37,79912,TX,162260.42
38,75052,TX,143034.45
39,94565,CA,431595.62
40,37042,TN,125266.7
41,11206,NY,380964.33
42,73099,OK,135525.24
43,90046,CA,928909.39
44,20009,DC,441191.55
45,77429,TX,195358.55
46,78245,TX,137450.5
47,77479,TX,296642.95
48,10462,NY,123226.05
49,10456,NY,195040.2
50,60613,IL,298473.73
51,30044,GA,157269.74
52,10019,NY,802303.25
53,63376,MO,168784.1
54,10003,NY,704910.03
55,28277,NC,265548.47
56,60625,IL,332010.15
57,30043,GA,186157.28
58,11230,NY,301409.88
59,11212,NY,314497.55
60,77036,TX,90895.82
61,10463,NY,219326.95
62,60629,IL,173934.28
63,11209,NY,314558.71
64,30096,GA,176738.33
65,11221,NY,552606.84
66,07030,NJ,476340.62
67,98052,WA,497885.81
68,30024,GA,276252.39
69,60610,IL,364691.91
70,78704,TX,404034.49
71,77077,TX,233794.12
72,85032,AZ,191611.92
73,77379,TX,199036.82
74,75287,TX,234685.05
75,10024,NY,882874.64
76,78666,TX,155818.02
77,21234,MD,183969.73
78,33160,FL,315880.17
79,23464,VA,216818.92
80,34787,FL,251287.0
81,78521,TX,79862.87
82,08701,NJ,275937.58
83,75243,TX,129364.28
84,11214,NY,294144.17
85,28027,NC,190198.11
86,11207,NY,303393.11
87,94501,CA,640994.42
88,02169,MA,312097.72
89,33411,FL,212256.87
90,11229,NY,335794.95
91,60619,IL,131940.12
92,78745,TX,216960.14
93,94110,CA,956583.07
94,23462,VA,174688.25
95,33025,FL,172976.64
96,10458,NY,131883.22
97,75067,TX,168411.54
98,90034,CA,777847.29
99,80134,CO,364280.37
100,33139,FL,279552.71
101,60611,IL,432231.36
102,95630,CA,410648.31
103,48197,MI,189738.23
104,44107,OH,139019.58
105,66062,KS,208368.93
106,11211,NY,577144.06
107,44035,OH,104198.34
108,85281,AZ,175628.99
109,11377,NY,265309.53
110,10453,NY,253485.45
111,90805,CA,315279.41
112,07302,NJ,486679.04
113,90650,CA,331166.68
114,90044,CA,288356.28
115,85710,AZ,145528.79
116,92683,CA,495661.73
117,85225,AZ,185976.37
118,11234,NY,428262.52
119,30281,GA,141883.03
120,37075,TN,217192.05
121,11355,NY,285826.15
122,11238,NY,514813.05
123,78641,TX,220475.0
124,10314,NY,357422.24
125,19143,PA,85643.14
126,79938,TX,138779.82
127,91709,CA,471736.11
128,11215,NY,712736.44
129,10452,NY,248780.89
130,60617,IL,108956.94
131,87114,NM,197458.0
132,32210,FL,119639.07
133,43081,OH,175498.84
134,94558,CA,474536.66
135,90026,CA,545002.86
136,76063,TX,199824.43
137,77459,TX,220886.25
138,91910,CA,369708.28
139,27587,NC,274671.05
140,30040,GA,263617.66
141,93722,CA,192611.88
142,97229,OR,400267.95
143,06010,CT,176547.27
144,17603,PA,143939.56
145,76028,TX,153432.47
146,33908,FL,219943.87
147,43123,OH,157638.21
148,75056,TX,215542.69
149,89108,NV,169281.36
150,85308,AZ,217416.73
151,78577,TX,77775.47
152,78240,TX,142475.12
153,94533,CA,289186.34
154,87111,NM,237863.03
155,14850,NY,189313.6
156,33024,FL,195351.33
157,98012,WA,389774.51
158,48180,MI,89879.35
159,77845,TX,213917.41
160,30318,GA,178776.94
161,44060,OH,160194.95
162,85364,AZ,137146.07
163,95608,CA,307017.45
164,43055,OH,106142.74
165,11385,NY,452322.27
166,33647,FL,238130.69
167,92677,CA,647360.98
168,44256,OH,189099.68
169,02148,MA,319549.38
170,15601,PA,172750.16
171,80013,CO,230983.47
172,90066,CA,872192.46
173,20906,MD,292147.56
174,47906,IN,188960.36
175,65807,MO,116308.15
176,06902,CT,207530.51
177,45011,OH,169881.65
178,30188,GA,204780.88
179,92336,CA,323447.17
180,99301,WA,158640.59
181,10468,NY,132963.92
182,11373,NY,263163.03
183,65203,MO,208200.39
184,28078,NC,246456.29
185,60620,IL,142621.35
186,46307,IN,187177.25
187,95823,CA,204473.42
188,92345,CA,186307.93
189,27610,NC,148631.7
190,34135,FL,242560.84
191,87120,NM,183605.97
192,27410,NC,195051.62
193,75035,TX,285200.91
194,98103,WA,469158.68
195,77450,TX,197711.63
196,95747,CA,381636.81
197,89121,NV,169397.73
198,27406,NC,115501.85
199,92804,CA,423203.52
200,08753,NJ,244730.87
201,75228,TX,124793.07
202,92126,CA,403092.86
203,10028,NY,945108.44
204,60634,IL,265912.05
205,20011,DC,407828.49
206,43130,OH,125442.1
207,76244,TX,188549.22
208,92503,CA,285760.96
209,91911,CA,332502.26
210,29732,SC,144431.6
211,32218,FL,146951.33
212,22191,VA,270772.26
