State,mean_overall,num_zip_codes
AK,202023.18,50
AL,109138.08,607
AR,78279.04,579
AZ,186179.59,345
CA,433505.13,1715
CO,243584.03,495
CT,289132.84,276
DC,483027.22,23
DE,245246.88,66
FL,189190.63,952
GA,128738.54,702
HI,439092.98,84
IA,105582.8,964
ID,182348.16,264
IL,131236.22,1301
IN,110476.99,806
KS,108717.7,569
KY,82806.62,724
LA,124851.0,466
MA,350734.58,522
MD,273833.79,464
ME,178510.49,382
MI,129335.74,968
MN,151574.02,860
MO,118163.91,971
MS,98743.93,349
MT,228637.38,274
NC,146538.86,801
ND,132368.15,188
NE,115031.33,480
NH,223554.48,241
NJ,332686.71,590
NM,158193.15,247
NV,225630.7,165
NY,231723.9,1754
OH,112081.43,1211
OK,78742.76,633
OR,212491.25,405
PA,139772.68,1773
RI,260718.26,77
SC,132530.47,397
SD,141899.52,185
TN,115122.24,615
TX,141242.04,1822
UT,217859.07,241
VA,199511.76,864
VT,184789.61,259
WA,244941.53,575
WI,145795.1,758
WV,75704.18,637
WY,229654.09,146
